Jurisdiction,Percent of total deaths
NL,0.3%
PE,1.2%
NS,1.5%
NB,1.6%
QC,2.4%
ON,1.6%
MB,1.6%
SK,1.0%
AB,1.4%
BC,3.3%
Canada,2.0%
