Main Condition,Percent Total (2021),Percent Male,Percent Female
Cancer,65.6%,68.4%,62.6%
Cardiovascular,18.7%,18.5%,19.0%
Respiratory,12.4%,12.8%,12.0%
Neurological,12.4%,12.1%,12.7%
Other Condition,11.5%,9.3%,14.0%
Multiple Comorbidities,10.0%,8.9%,11.2%
Other Organ Failure,8.0%,8.2%,7.8%
