Nature of Suffering,Percent
Loss of ability to engage in meaningful activities,86.3%
Loss of ability to perform activities of daily living,81.9%
Inadequate control of pain (or concern),59.2%
Loss of dignity,53.1%
Inadequate control of symptoms other than pain (or concern),47.4%
"Perceived burden on family, friends or caregivers",35.3%
Loss of control of bodily functions,30.2%
Isolation or loneliness,17.1%
Loss of control / autonomy / independence,4.3%
Emotional distress / Existential suffering / Fear / Anxiety,3.3%
No / poor / loss of quality of life,1.8%
Other,0.7%
