Length of time,Track 1 (%),Track 2 (%)
Less than 1 year,32.2,19.8
1 year to less than 5 years,31.8,27.5
5 years to less than 10 years,13.1,18.0
10 years to less than 20 years,10.9,15.7
20 years or more,12.0,19.0
