Quintile,B.C.,Alta.,Sask.,Man.,Ont.,Que.,N.B.,N.S.,P.E.I.,N.L.
1 - Least deprived,40.4,31.7,18.3,12.7,30.6,20.3,14.8,19.0,X,16.3
2,23.7,19.0,24.2,13.3,22.1,19.6,13.3,18.8,28.3,22.4
3,15.7,18.2,18.0,30.9,18.4,21.6,20.7,15.6,26.1,27.6
4,12.2,17.1,17.1,18.2,15.7,22.0,26.6,23.7,26.1,17.3
5 - Most deprived,8.0,13.9,22.4,24.8,13.2,16.5,24.6,22.9,13.0,16.3
