Speciality,Percent
Family and Emergency Medicine,65.0%
Palliative Medicine,9.1%
Anesthesiology,5.0%
General Internal Medicine,4.7%
Critical Care & Emergency Medicine,1.7%
Oncology,1.7%
Psychiatrist,1.2%
Nurse Practitioner,7.1%
Other,4.5%
