Cancer Type,Percent
Lung,23.8%
Colorectal,12.0%
Hematologic,8.2%
Pancreas,8.1%
Prostate,7.5%
Breast,6.4%
Skin,3.9%
Esophagus,3.7%
Ovary,3.3%
Bladder,3.2%
Brain,3.1%
Stomach,2.6%
Kidney,2.2%
Liver,2.1%
Bile Ducts,1.7%
Uterus,1.7%
Other Cancers,11.4%
