Marginalization quintile,Track 1,Track 2,"All deaths, 2024"
1 - Least deprived,27.7,24.5,21.8
2,21.0,21.9,20.1
3,19.3,18.0,19.1
4,17.8,19.9,20.0
5 - Most deprived,14.2,15.7,19.0
