Palliative Care Services,,,Disability Support Services,,
,Number,Percentage,,Number,Percentage
Persons who received palliative care services,"4,422",82.1%,Persons who required disability support services,"2,223",41.2%
Persons who did not receive palliative care services,874,16.2%,Persons who did not require disability support services,"2,262",42.0%
Unknown,93,1.7%,Unknown,904,16.8%
Persons who received disability support services,"1,996",89.8%,,,
Palliative Care - Duration,,,Disability Support - Duration,,
Less than 2 weeks,854,19.3%,Less than 6 months,901,45.1%
2 weeks to under 1 month,880,19.9%,6 months or longer,750,37.6%
1 month or more,"2,415",54.6%,Unknown,345,17.3%
Unknown,273,6.2%,,,
Palliative care was accessible if needed,783,89.6%,Persons who required and did not receive disability support services,87,3.9%
