Province or territory,MAID provisions,
Count,Percent (%),
N.L.,72,0.5
P.E.I.,44,0.3
N.S.,359,2.3
N.B.,299,1.9
Que.,"5,601",36.5
Ont.,"4,644",30.3
Man.,227,1.5
Sask.,344,2.2
Alta.,977,6.4
B.C.,"2,759",18.0
Y.T.,X,X
N.W.T.,X,X
Nvt.,0,0.0
Total,-,100%
Table 2.2a Footnote a X suppressed to meet confidentiality requirements Table 2.2a Return to footnote a referrer,,
