Characteristic,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
Total respondents to the self-identified disability question,"15,394",97.6,710,97.0
Self-reported having a disability,"4,858",31.6,437,61.5
Footnote a Not all people who received MAID responded to this question. Return to footnote a referrer,,,,
