Neurological Condition,"Percent, 2021","Percent, 2020"
ALS,21.1%,32.8%
Parkinson's Disease,17.7%,17.3%
MS,13.9%,9.0%
Spinal Stenosis,8.1%,6.0%
Progressive Supranuclear Palsy,5.0%,4.2%
Other Neurological Conditions,35.7%,31.9%
