Medical condition,Track 1,,Track 2,
Male (%),Female (%),Male (%),Female (%),
Cancer,66.2,60.9,5.0,3.4
Neurological,12.2,11.9,59.6,45.5
Respiratory,13.5,13.8,7.9,11.3
Cardiovascular,17.6,16.6,14.8,11.3
Other,26.6,31.0,45.7,57.8
