Jurisdiction,Hospital Pharmacy,Community Pharmacy,Other
NL,100.0%,0.0%,0.0%
PE,100.0%,0.0%,0.0%
NS,52.0%,48.0%,0.0%
NB,100.0%,0.0%,0.0%
QC,98.4%,0.0%,1.6%
ON,36.2%,49.4%,14.3%
MB,100.0%,0.0%,0.0%
SK,100.0%,0.0%,0.0%
AB,32.1%,67.9%,0.0%
BC,34.1%,65.9%,0.0%
