Province or territory,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
N.L.,X,X,X,X
P.E.I.,57,100.0,0,0.0
N.S.,439,98.7,6,1.3
N.B.,263,92.9,20,7.1
Que.,"5,546",92.5,452,7.5
Ont.,"4,824",97.6,120,2.4
Man.,X,X,X,X
Sask.,332,97.4,9,2.6
Alta.,"1,066",95.4,51,4.6
B.C.,"2,932",97.8,65,2.2
Yuk.,X,X,X,X
N.W.T.,X,X,X,X
Nvt.,X,X,0,0.0
Total,"15,767",NA,732,NA
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,
