Cancer Type,Percent
Lung,24.3%
Colorectal,11.8%
Hematologic,8.6%
Pancreas,8.0%
Prostate,7.2%
Breast,6.8%
Skin,4.8%
Bladder,4.2%
Esophagus,3.3%
Ovary,3.3%
Brain,3.1%
Stomach,2.6%
Kidney,2.3%
Bile Ducts,2.0%
Liver,2.0%
Uterus,1.4%
Other Cancers,9.0%
