# Marginal rates for each reported source of suffering, by year.
# 
# IMPORTANT: the MAID monitoring regulations changed on 1 January 2023 and the
# reporting form's answer options changed with them. Health Canada states that
# "data collected in 2023 are not fully comparable with the data collected in
# previous years". The clearest artefacts: "loss of independence" and "emotional
# distress" were residual free-text categories before 2023 (1.7-5.6%) and became
# listed options afterwards (38-75%). Trends must not be read across 2022/2023.
year,measure,published_label,track_1_or_all_pct,track_2_pct,breakdown,form_version,source
2021,independence,Loss of control / autonomy / independence,1.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,other,Other,0.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2022,meaningful_activities,Loss of ability to engage in meaningful activities,86.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,activities_daily_living,Loss of ability to perform activities of daily living,81.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,pain_control,Inadequate control of pain (or concern),59.2,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,dignity,Loss of dignity,53.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,other_symptom_control,Inadequate control of symptoms other than pain (or concern),47.4,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,perceived_burden,"Perceived burden on family, friends or caregivers",35.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,bodily_functions,Loss of control of bodily functions,30.2,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,isolation_loneliness,Isolation or loneliness,17.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,independence,Loss of control / autonomy / independence,4.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,emotional_existential,Emotional distress / Existential suffering / Fear / Anxiety,3.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,quality_of_life,No / poor / loss of quality of life,1.8,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2022,other,Other,0.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2022.html
2023,meaningful_activities,Loss of ability to engage in meaningful activities,95.5,96.3,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,activities_daily_living,Loss of ability to perform activities of daily living,87.3,83.1,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,dignity,Loss of dignity,64.9,70.4,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,pain_control,"Inadequate pain control, or concern about it",54.4,58.5,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,independence,Loss of independence,52.8,39.1,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,perceived_burden,"Perceived burden on family, friends and caregivers",45.1,49.2,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,other_symptom_control,"Inadequate control of other symptoms, or concern about it",41.8,31.2,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,emotional_existential,"Emotional distress, anxiety, fear or existential suffering",38.5,35.0,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,bodily_functions,Loss of control of bodily functions,33.4,32.2,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,isolation_loneliness,Isolation or loneliness,21.1,47.1,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2023,other,Other,3.6,4.8,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2023.html
2024,meaningful_activities,Loss of ability to engage in meaningful activities,95.1,97.5,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,activities_daily_living,Loss of ability to perform activities of daily living,85.4,85.1,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,independence,Loss of independence,75.4,78.7,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,dignity,Loss of dignity,63.5,73.9,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,emotional_existential,Emotional distress/anxiety/fear/existential suffering,57.9,63.3,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,pain_control,"Inadequate pain control, or concern about it",55.9,59.8,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,other_symptom_control,"Inadequate control of other symptoms, or concern about it",57.0,43.6,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,perceived_burden,"Perceived burden on family, friends or caregivers",48.4,50.3,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,isolation_loneliness,Isolation or loneliness,21.9,44.7,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,bodily_functions,Loss of control of bodily functions,32.1,31.8,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
2024,other,Other,2.9,2.7,by_track,2023+ form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html
