"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216369","2.7.2","8.3","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","315","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216371","2.8.2","8.3","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","259","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216373","2.9.2","6.8","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","298","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216375","2.10.2","7.8","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, October","Number of deaths","Number","223","units","0","v21216376","2.11.1","294","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216377","2.11.2","7.7","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, November","Number of deaths","Number","223","units","0","v21216378","2.12.1","337","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216379","2.12.2","8.9","","","","1"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, December","Number of deaths","Number","223","units","0","v21216380","2.13.1","338","","","","0"
"1991","Newfoundland and Labrador, place of residence","2021A000210","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216381","2.13.2","8.9","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Total, month of death","Number of deaths","Number","223","units","0","v21216382","3.1.1","1188","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216383","3.1.2","100.0","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, January","Number of deaths","Number","223","units","0","v21216384","3.2.1","106","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216385","3.2.2","8.9","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, February","Number of deaths","Number","223","units","0","v21216386","3.3.1","85","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216387","3.3.2","7.2","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, March","Number of deaths","Number","223","units","0","v21216388","3.4.1","97","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216389","3.4.2","8.2","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, April","Number of deaths","Number","223","units","0","v21216390","3.5.1","105","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216391","3.5.2","8.8","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, May","Number of deaths","Number","223","units","0","v21216392","3.6.1","101","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216393","3.6.2","8.5","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, June","Number of deaths","Number","223","units","0","v21216394","3.7.1","110","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216395","3.7.2","9.3","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, July","Number of deaths","Number","223","units","0","v21216396","3.8.1","97","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216397","3.8.2","8.2","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, August","Number of deaths","Number","223","units","0","v21216398","3.9.1","97","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216399","3.9.2","8.2","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, September","Number of deaths","Number","223","units","0","v21216400","3.10.1","85","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216401","3.10.2","7.2","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, October","Number of deaths","Number","223","units","0","v21216402","3.11.1","76","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216403","3.11.2","6.4","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, November","Number of deaths","Number","223","units","0","v21216404","3.12.1","110","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216405","3.12.2","9.3","","","","1"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, December","Number of deaths","Number","223","units","0","v21216406","3.13.1","119","","","","0"
"1991","Prince Edward Island, place of residence","2021A000211","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216407","3.13.2","10.0","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Total, month of death","Number of deaths","Number","223","units","0","v21216408","4.1.1","7255","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216409","4.1.2","100.0","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, January","Number of deaths","Number","223","units","0","v21216410","4.2.1","661","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216411","4.2.2","9.1","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, February","Number of deaths","Number","223","units","0","v21216412","4.3.1","598","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216413","4.3.2","8.2","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, March","Number of deaths","Number","223","units","0","v21216414","4.4.1","681","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216415","4.4.2","9.4","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, April","Number of deaths","Number","223","units","0","v21216416","4.5.1","555","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216417","4.5.2","7.6","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, May","Number of deaths","Number","223","units","0","v21216418","4.6.1","618","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216419","4.6.2","8.5","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, June","Number of deaths","Number","223","units","0","v21216420","4.7.1","573","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216421","4.7.2","7.9","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, July","Number of deaths","Number","223","units","0","v21216422","4.8.1","590","","","","0"
